word,phonetic,definition,translation,pos,collins,oxford,tag,bnc,frq,exchange,detail,audio
a,ei,n. the 1st letter of the Roman alphabet\nn. the blood group whose red cells carry the A antigen,"第一个字母 A; 一个; 第一的\r\nart. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步",,5,1,zk gk,5,5,,"""""",
abandon,ә'bændәn,"n. the trait of lacking restraint or control; reckless freedom from inhibition or worry\nv. forsake, leave behind\nv. give up with the intent of never claiming again\nv. stop maintaining or insisting on; of ideas or claims","vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵\nn. 放任, 无拘束, 狂热",,3,1,gk cet4 cet6 ky toefl gre,2057,2182,d:abandoned/p:abandoned/i:abandoning/3:abandons,,
abandoned,ә'bændәnd,s. forsaken by owner or inhabitants\ns. free from constraint,"a. 被抛弃的, 无约束的, 恣意放荡的",,3,1,toefl,9617,6184,0:abandon/1:dp/p:abandoned/d:abandoned,,
ability,ә'biliti,n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment\nn. possession of the qualities (especially mental qualities) required to do something or get something done,"n. 能力, 才干\n[经] 能力, 才能",,4,1,zk gk cet4 ky toefl ielts,946,783,s:abilities,,
able,'eibl,a. (usually followed by `to') having the necessary means or skill or know-how or authority to do something\ns. have the skills and qualifications to do things well\ns. having inherent physical or mental ability or capacity\ns. having a strong healthy body,"a. 能干的, 能够的",,5,1,zk gk,295,385,,,
abortion,ә'bɒ:ʃәn,n. termination of pregnancy,"n. 流产, 堕胎, 失败, 夭折, 中止\n[医] 流产, 小产; 顿挫",,3,,gk ielts,4341,1969,s:abortions,,
about,ә'baut,s. on the move\nr. all around or on all sides\nr. in the area or vicinity\nr. used of movement to or among many different places or in no particular direction,"prep. 在...周围, 大约, 有关, 关于\nadv. 大约, 四处, 在附近, 周围",,5,1,zk gk,63,46,,,
above,ә'bʌv,n. an earlier section of a written text\ns. appearing earlier in the same text\nr. at an earlier place\nr. in or to a place that is higher,"prep. 在上方, 超出\nadv. 在上面\na. 上述的, 上面的",,4,1,zk gk,733,893,,,
abroad,ә'brɒ:d,s. in a foreign country\nr. to or in a foreign country,"adv. 往国外, 到室外, 到处\na. 往国外的, 在室外的, 广泛四散的",,3,1,zk gk toefl,2243,3363,,,
absence,'æbsәns,"n. the state of being absent\nn. failure to be present\nn. the time interval during which something or somebody is away\nn. the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy","n. 缺席, 缺乏, 没有\n[医] 失神",,3,1,gk cet4 cet6 ky toefl,1585,2524,s:absences,,
absolute,'æbsәlu:t,n. something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative\na. perfect or complete or pure\ns. complete and without restriction or qualification; sometimes used informally as intensifiers\ns. not limited by law,"a. 绝对的, 专制的, 完全的, 独立的\nn. 绝对事物",,3,1,gk cet4 cet6 ky toefl gre,2420,3165,s:absolutes,,
absolutely,'æbsәlu:tli,r. completely and without qualification; used informally as intensifiers\nr. totally and definitely; without question,"adv. 完全地, 绝对地, 确确实实地",,4,1,cet4 toefl,1619,1149,,,
abuse,ә'bju:s.ә'bju:z,n. a rude expression intended to offend or hurt\nv. use foul or abusive language towards\nv. use wrongly or improperly or excessively,"n. 滥用, 虐待, 恶习, 辱骂\nvt. 滥用, 辱骂, 虐待",,4,1,gk cet4 cet6 ky toefl ielts gre,2352,1540,d:abused/s:abuses/i:abusing/3:abuses/p:abused,,
academic,.ækә'demik,a. associated with academia or an academy\ns. hypothetical or theoretical and not expected to produce an immediate or practical result\ns. marked by a narrow focus on or display of learning especially its trivial aspects,"a. 学院的, 学术的, 不切实际的\nn. 大学生, 大学教师, 学者, 学会会员",,3,1,gk cet4 cet6 ky toefl ielts gre,1941,1465,s:academics,,
accept,әk'sept,v. consider or hold as true\nv. receive willingly something given or offered\nv. give an affirmative reply to; respond favorably to\nv. react favorably to; consider right and proper,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍\nvi. 同意",,5,1,zk gk cet4 ky,488,766,d:accepted/p:accepted/i:accepting/3:accepts,,
acceptable,әk'septәbl,a. worthy of acceptance or satisfactory\ns. judged to be in conformity with approved usage\ns. adequate for the purpose,"a. 可接受的, 合意的, 可忍受的",,3,1,cet4,2388,3415,,,
accepted,әk'septid,s. generally approved or compelling recognition,"a. 公认的, 一般承认的\n[经] 已承兑, 已认付",,4,,,5565,6728,0:accept/1:dp/d:accepted/p:accepted,,
access,'ækses,n. the right to obtain or make use of or take advantage of something (as services or membership)\nn. a way of entering or leaving\nn. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)\nn. (computer science) the operation of reading or writing stored information,"n. 通路, 入口, 接近, 进入, 使用权, 发作\nvt. 访问, 存取, 接近, 使用\n[计] 访问, 存取",,3,1,gk cet4 cet6 ky toefl ielts gre,999,1113,d:accessed/i:accessing/3:accesses/s:accesses/p:accessed,,
accident,'æksidәnt,n. an unfortunate mishap; especially one causing damage or injury\nn. anything that happens suddenly or by chance without an apparent cause,"n. 意外事件, 机遇, 事故, 次要方面\n[化] 意外事故; 事故",,3,1,zk gk cet4 ky toefl,1187,1707,s:accidents,,
accompany,ә'kʌmpәni,v. go or travel along with,"vt. 陪伴, 伴随, 补充, 为...伴奏\nvi. 伴奏, 伴唱",,3,1,gk cet4 cet6 ky toefl ielts gre,1902,2438,d:accompanied/p:accompanied/i:accompanying/3:accompanies,,
accord,ә'kɒ:d,n. concurrence of opinion\nn. sympathetic compatibility\nv. allow to have,"n. 一致, 调和, 协定\nvt. 给与, 使一致\nvi. 相符合",,5,,cet4 cet6 ky toefl ielts gre,5594,6075,i:according/d:accorded/3:accords/s:accords/p:accorded,,
according to,,,"根据, 按照；取决于；据…所说",,5,1,,0,0,,,
account,ә'kaunt,n. a formal contractual relationship established to provide for regular banking or brokerage or business services\nn. importance or value\nn. a statement of recent transactions and the resulting balance\nn. the quality of taking advantage,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目\nvi. 报帐, 解释, 导致, 报偿, 占, 杀死\nvt. 认为\n[计] 帐户, 帐号",,5,1,gk cet4 ky toefl ielts,498,1071,s:accounts/d:accounted/i:accounting/3:accounts/p:accounted,,
accurate,'ækjurәt,"a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy\ns. (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct","a. 正确的, 精确的\n[经] 准确的, 精确的",,3,1,cet4 cet6 ky toefl ielts gre,2738,2728,,,
accuse,ә'kju:z,v. bring an accusation against; level a charge against,"vt. 指责, 控告, 归咎于\nvi. 指责, 控告",,4,1,gk cet4 cet6 ky toefl ielts gre,1893,2024,d:accused/p:accused/i:accusing/3:accuses,,
